date,ind,maxtp,ind,mintp,igmin,gmin,ind,rain,cbl,wdsp,ind,hm,ind,ddhm,ind,hg,soil,pe,evap,smd_wd,smd_md,smd_pd,glorad
11-Aug-03,0,21.9,0,9.6, , ,0,0,1017.5,4.6,0,7,0,290,0,12, , , , , , , 
12-Aug-03,0,23.5,0,8.6, , ,0,0,1017.7,3.5,0,8,0,250,0,14, , , , , , , 
13-Aug-03,0,21.8,4, , , ,8, ,1017.9,3.5,0,8,0,340,0,14, , , , , , , 
14-Aug-03,0,21,0,7.7, , ,0,0,1016.8,3.5,0,10,0,50,0,15, , , , , , , 
15-Aug-03,0,19.8,0,5.8, , ,0,0,1015.2,2.4,0,6,0,10,0,10, , , , , , , 
16-Aug-03,0,20.8,0,6.8, , ,0,0,1013.3,2.7,0,6,0,130,0,10, , , , , , , 
17-Aug-03,0,17.5,0,9.5, , ,0,1.6,1007.6,4.5,0,10,0,170,0,17, , , , , , , 
18-Aug-03,0,18.7,0,5.2, , ,0,0.1,1010.7,4.8,0,11,0,270,0,19, , , , , , , 
19-Aug-03,0,18.5,0,11.4, , ,0,0,1016.2,4.5,0,11,0,260,0,17, , , , , , , 
20-Aug-03,0,18.8,0,9.2, , ,0,0,1015.1,3.5,0,12,0,270,0,17, , , , , , , 
21-Aug-03,0,22.7,0,12.2, , ,0,0,1009.4,6.8,0,14,0,230,0,23, , , , , , , 
22-Aug-03,0,22,0,16.6, , ,0,0.2,1011,4.7,0,11,0,240,0,17, , , , , , , 
23-Aug-03,0,24,0,14.3, , ,0,0,1015.3,2.5,0,8,0,180,0,13, , , , , , , 
24-Aug-03,0,23,0,12.3, , ,0,0,1015.1,5.7,0,13,0,100,0,21, , , , , , , 
25-Aug-03,0,19.7,0,12.5, , ,0,0.1,1012.8,6.4,0,14,0,90,0,22, , , , , , , 
26-Aug-03,0,16.1,0,11.6, , ,0,2.1,1010.5,7.1,0,12,0,90,0,19, , , , , , , 
27-Aug-03,0,21.4,0,7.8, , ,0,0.1,1008.5,4.5,0,11,0,90,0,17, , , , , , , 
28-Aug-03,0,16.7,0,11.5, , ,0,0,1004.8,6.8,0,16,0,20,0,25, , , , , , , 
29-Aug-03,0,18.1,0,8.3, , ,0,0,1009.7,7.3,0,14,0,30,0,26, , , , , , , 
30-Aug-03,0,16.7,0,4.7, , ,0,0,1016.6,4.5,0,8,0,350,0,13, , , , , , , 
31-Aug-03,0,16.3,0,8.6, , ,0,0,1018.9,4.2,0,10,0,340,0,15, , , , , , , 
01-Sept-03,4, ,4, , , ,8, , , ,0,8,0,10,0,12, , , , , , , 
02-Sept-03,0,18.9,0,10.7, , ,0,0,1023.6,2.3,0,7,0,280,0,10, , , , , , , 
03-Sept-03,0,19.4,0,7.9, , ,0,0,1024.5,2.3,0,6,0,150,0,10, , , , , , , 
04-Sept-03,0,19.8,0,7.1, , ,0,0.1,1019,4.8,0,11,0,160,0,18, , , , , , , 
05-Sept-03,0,16.5,0,8.2, , ,0,13.7,1011.7,2.9,0,8,0,240,0,13, , , , , , , 
06-Sept-03,0,17.2,0,5.1, , ,0,0.8,1011,3.7,0,11,0,290,0,18, , , , , , , 
07-Sept-03,0,15,0,5.5, , ,0,8.4,1006.1,3.1,0,7,0,190,0,11, , , , , , , 
08-Sept-03,0,16.9,0,7.9, , ,0,0,1007.3,6.7,0,13,0,320,0,23, , , , , , , 
09-Sept-03,0,15.8,0,6.8, , ,0,0.5,1009.2,4.2,0,10,0,260,0,20, , , , , , , 
10-Sept-03,0,18.9,0,12.9, , ,0,0.6,1008.9,6.9,0,13,0,300,0,22, , , , , , , 
11-Sept-03,0,19.5,0,7.6, , ,0,0.4,1017.5,6.7,0,16,0,290,0,25, , , , , , , 
12-Sept-03,4, ,4, , , ,8, , , ,0,10,0,170,0,16, , , , , , , 
07-Oct-03,0,15.2,0,10.8, , ,0,3.9,1009.5,10,0,16,0,310,0,28, , , , , , ,591
